id;posicion;tipo;color;formalidad;por;descripcion_ia;notas;Casual;Streetwear;Athleisure;Minimalista;Smart Casual;Business Casual;Preppy;Rocker;Grunge;Oversize;motivo_business_casual
67;abajo;bermuda;negro;2;;Bermuda cargo vaquera en color negro.;vaquero corto tipo cargo;1;2;0;0;0;0;0;0;0;0;Bermuda cargo: demasiado informal para Business Casual.
68;abajo;bermuda;gris oscuro;2;;Bermuda vaquera oscura con estampado de cuadros.;bermuda vaquera ancha;1;2;0;0;0;0;0;0;0;0;Business Casual no lleva nada corto.
69;abajo;bermuda;blanco;2;;Bermuda vaquera blanca con estampado de letras.;vaquero corto estampado;1;2;0;0;0;0;0;0;0;0;Un estampado grande o un logo no es de Business Casual.
70;abajo;bermuda;azul;2;;Bermuda vaquera ancha en color azul.;vaquero tipo jorts;1;2;0;0;0;0;0;0;0;1;Business Casual no lleva nada corto.
71;abajo;bermuda;azul marino;2;;Bermuda vaquera oscura estilo cargo con cordón ajustable;bermuda vaquera tipo cargo con cintura elastica;1;2;0;0;0;0;0;0;0;0;Bermuda cargo: demasiado informal para Business Casual.
72;abajo;bermuda;azul claro;2;;Bermuda vaquera clara de corte clásico con bolsillos;bermuda vaquera ancha;1;2;0;0;0;0;0;0;0;0;Business Casual no lleva nada corto.
74;abajo;bermuda;beige;3;tipo chino;Bermuda lisa de algodón color beige con bolsillos delanteros;bermuda tipo chino;1;2;0;0;0;0;1;0;0;0;Business Casual no lleva nada corto.
75;abajo;bermuda;blanco;3;tipo chino;Bermuda lisa de color blanco con cierre de botón;bermuda tipo chino de lino;1;2;0;0;0;0;1;0;0;0;Business Casual no lleva nada corto.
76;abajo;bermuda;negro;3;tipo chino;Bermuda lisa de algodón en color negro;bermuda tipo chino de vestir;1;2;0;0;0;0;1;0;0;0;Business Casual no lleva nada corto.
77;abajo;bermuda;burdeos;3;tipo chino;Bermuda lisa de algodón en color burdeos;bermuda tipo chino;1;2;0;0;0;0;1;0;0;0;Business Casual no lleva nada corto.
78;abajo;bermuda;gris;2;;Bermuda vaquera gris estilo clásico con bolsillos;bermuda vaquera recta;1;2;0;0;0;0;0;0;0;0;Business Casual no lleva nada corto.
79;abajo;bermuda;negro;1;de chándal;Bermuda deportiva negra de felpa con cordón ajustable;pantalon corto de chandal basico;1;2;1;0;0;0;0;0;0;0;Bermuda de chándal: demasiado informal para Business Casual.
80;abajo;bermuda;azul;1;de chándal;Bermuda deportiva de felpa azul con cordón ajustable;pantalon corto de chandal basico;1;2;1;0;0;0;0;0;0;0;Bermuda de chándal: demasiado informal para Business Casual.
81;abajo;bermuda;burdeos;2;;Bermuda burdeos de algodón con cordón ajustable;pantalon corto con cintura elastica;1;2;1;0;0;0;0;0;0;0;Business Casual no lleva nada corto.
82;abajo;bermuda;negro;1;de chándal;Bermuda negra con estampado lateral en azul;pantalon corto de chandal estampado;1;2;1;0;0;0;0;0;0;0;Bermuda de chándal: demasiado informal para Business Casual.
83;abajo;bermuda;multicolor;1;de chándal;Bermuda estilo tie-dye multicolor;pantalon corto de chandal tie dye;1;2;1;0;0;0;0;0;0;0;Bermuda de chándal: demasiado informal para Business Casual.
84;abajo;bermuda;marron;2;;Bermuda marrón tipo cargo con bolsillos laterales;bermuda tipo cargo ligera con cintura elastica;1;2;1;0;0;0;0;0;0;0;Bermuda cargo: demasiado informal para Business Casual.
85;abajo;bermuda;negro;2;;Bermuda cargo negra con múltiples bolsillos;bermuda tipo cargo con bolsillos;1;2;1;0;0;0;0;0;0;0;Bermuda cargo: demasiado informal para Business Casual.
115;abajo;chino;beige;5;de vestir;Pantalon chino largo de color beige claro;pantalon chino de vestir con dobladillo;2;0;0;2;2;2;2;0;0;0;Es una prenda muy de Business Casual.
116;abajo;chino;negro;5;de vestir;Pantalon largo de vestir negro;pantalon chino de vestir;2;0;0;2;2;2;2;0;0;0;Es una prenda muy de Business Casual.
117;abajo;chino;azul marino;5;de vestir;Pantalon largo de vestir en color azul marino;pantalon chino de vestir;2;0;0;2;2;2;2;0;0;0;Es una prenda muy de Business Casual.
59;abajo;jogger;marron;1;;Pantalón jogger marrón con bolsillos cargo;pantalon de chandal tipo cargo;0;2;2;0;0;0;0;0;0;0;Jogger: demasiado informal para Business Casual.
60;abajo;jogger;blanco;1;;Pantalón jogger blanco con bolsillos cargo;pantalon de chandal tipo jogger cargo;0;2;2;0;0;0;0;0;0;0;Jogger: demasiado informal para Business Casual.
61;abajo;jogger;gris;1;;Pantalon de chandal gris largo.;pantalon de chandal tipo wide leg;0;2;2;0;0;0;0;0;0;0;Jogger: demasiado informal para Business Casual.
62;abajo;jogger;beige;1;;Pantalon de chandal beige largo.;pantalon de chandal tipo wide leg;0;2;2;0;0;0;0;0;0;0;Jogger: demasiado informal para Business Casual.
63;abajo;pantalon;marron;3;de trabajo;Pantalon largo de pana marron.;pantalon de pana tipo straight;1;1;0;2;2;0;0;1;1;0;Pantalón de trabajo: formalidad 3/5 (casual). Business Casual pide de arreglado para arriba (4/5 o más).
64;abajo;pantalon;marron;2;cargo;Pantalon cargo largo de color marron.;pantalon tipo cargo de;1;1;0;0;0;0;0;1;1;0;Pantalón cargo: demasiado informal para Business Casual.
65;abajo;pantalon;beige;2;cargo;Pantalon cargo largo color beige.;pantalon tipo cargo;1;1;0;0;0;0;0;1;1;0;Pantalón cargo: demasiado informal para Business Casual.
66;abajo;pantalon;azul claro;2;cargo;Vaquero cargo largo en color azul claro.;pantalon tipo cargo de lona;1;1;0;0;0;0;0;1;1;0;Pantalón cargo: demasiado informal para Business Casual.
73;abajo;bermuda;beige;3;tipo chino;Bermuda de algodón beige con estampado de rayas verticales;pantalon tipo pirata;1;2;0;0;0;0;1;0;0;0;Business Casual no lleva nada corto.
50;abajo;vaquero;gris oscuro;3;;Pantalón vaquero largo en tono gris oscuro desgastado;vaquero tipo straight;2;2;0;1;1;0;0;2;2;0;Vaquero: formalidad 3/5 (casual). Business Casual pide de arreglado para arriba (4/5 o más).
51;abajo;vaquero;negro;3;;Pantalón vaquero negro largo;vaquero tipo slim;2;2;0;1;1;0;1;2;2;0;Vaquero: formalidad 3/5 (casual). Business Casual pide de arreglado para arriba (4/5 o más).
52;abajo;vaquero;marron;3;;Pantalón vaquero marrón largo;vaquero tipo baggy;2;2;0;1;0;0;0;2;2;0;En Business Casual, el vaquero solo oscuro.
53;abajo;vaquero;gris;3;;Pantalón vaquero gris largo;vaquero tipo baggy;2;2;0;1;0;0;0;2;2;0;En Business Casual, el vaquero solo oscuro.
54;abajo;vaquero;azul claro;3;;Pantalón vaquero azul claro largo;vaquero tipo mom;2;2;0;1;0;0;1;2;2;0;En Business Casual, el vaquero solo oscuro.
55;abajo;vaquero;azul claro;2;rota;Vaquero azul claro roto con rotos;vaquero tipo wide leg;2;2;0;0;0;0;0;2;2;0;En Business Casual, el vaquero solo oscuro.
56;abajo;vaquero;azul claro;3;;Pantalón vaquero azul claro largo;vaquero tipo straight cropped;2;2;0;1;0;0;0;2;2;0;En Business Casual, el vaquero solo oscuro.
57;abajo;vaquero;azul;3;;Pantalón vaquero azul largo;vaquero tipo slouchy;2;2;0;1;0;0;0;2;2;0;En Business Casual, el vaquero solo oscuro.
58;abajo;vaquero;crudo;2;rota;Pantalón vaquero crudo con rotos;vaquero tipo straight mom;2;2;0;0;0;0;0;2;2;0;En Business Casual, el vaquero solo oscuro.
4;arriba;camisa;beige;3;de manga corta;Camisa de manga corta color beige con bolsillo.;camisa manga corta;1;1;0;2;2;0;2;1;2;0;Camisa de manga corta: formalidad 3/5 (casual). Business Casual pide de arreglado para arriba (4/5 o más).
5;arriba;camisa;azul marino;2;de fantasía;Camisa azul marino con estampado de piñas.;camisa manga corta;1;1;0;0;0;0;0;1;2;0;Un estampado grande o un logo no es de Business Casual.
6;arriba;camisa;gris;3;de manga corta;Camisa de manga corta a cuadros grises.;camisa manga corta;1;1;0;0;2;0;2;1;2;0;Camisa de manga corta: formalidad 3/5 (casual). Business Casual pide de arreglado para arriba (4/5 o más).
8;arriba;camisa;negro;2;de béisbol;Camisa de béisbol negra con rayas diplomáticas.;camisa de beisbol;1;1;0;0;0;0;0;1;2;0;Camisa de béisbol: demasiado informal para Business Casual.
